form,tags
-,"['imperfect', 'second-person', 'singular', 'subjunctive']"
-,"['present', 'reflexive', 'second-person', 'singular', 'subjunctive']"
-,"['first-person', 'present', 'reflexive', 'singular', 'subjunctive']"
-,"['conditional', 'plural', 'reflexive', 'third-person']"
-,"['conditional', 'plural', 'reflexive', 'second-person']"
-,"['conditional', 'first-person', 'plural', 'reflexive']"
-,"['conditional', 'reflexive', 'second-person', 'singular']"
-,"['conditional', 'first-person', 'reflexive', 'singular']"
-,"['future', 'indicative', 'plural', 'reflexive', 'third-person']"
-,"['future', 'indicative', 'plural', 'reflexive', 'second-person']"
-,"['first-person', 'future', 'indicative', 'plural', 'reflexive']"
-,"['future', 'indicative', 'reflexive', 'second-person', 'singular']"
-,"['historic', 'indicative', 'past', 'plural', 'reflexive', 'third-person']"
-,"['historic', 'indicative', 'past', 'plural', 'reflexive', 'second-person']"
-,"['first-person', 'historic', 'indicative', 'past', 'plural', 'reflexive']"
-,"['historic', 'indicative', 'past', 'reflexive', 'second-person', 'singular']"
-,"['first-person', 'historic', 'indicative', 'past', 'reflexive', 'singular']"
-,"['imperfect', 'indicative', 'plural', 'reflexive', 'third-person']"
-,"['first-person', 'plural', 'present', 'reflexive', 'subjunctive']"
-,"['plural', 'present', 'reflexive', 'second-person', 'subjunctive']"
-,"['plural', 'present', 'reflexive', 'subjunctive', 'third-person']"
-,"['first-person', 'imperfect', 'reflexive', 'singular', 'subjunctive']"
-,"['first-person', 'imperfect', 'singular', 'subjunctive']"
-,"['imperfect', 'singular', 'subjunctive', 'third-person']"
-,"['conditional', 'plural', 'third-person']"
-,"['conditional', 'singular', 'third-person']"
-,"['future', 'indicative', 'plural', 'third-person']"
-,"['future', 'indicative', 'singular', 'third-person']"
-,"['historic', 'indicative', 'past', 'plural', 'third-person']"
-,"['historic', 'indicative', 'past', 'singular', 'third-person']"
-,"['imperfect', 'indicative', 'plural', 'reflexive', 'second-person']"
-,"['indicative', 'plural', 'present', 'third-person']"
-,"['participle', 'past']"
-,"['imperative', 'plural', 'reflexive', 'second-person']"
-,"['first-person', 'imperative', 'plural', 'reflexive']"
-,"['imperative', 'reflexive', 'second-person', 'singular']"
